CMD: maintainability_line_counts(scope files expanded, tracked-aware)
apps/s10_gui_operator_tools_v1.ts | tracked=0 | total_lines=96 | added=96 | removed=0 | net=96
docs/sprints/S10/evidence/tools/gates/S10-EVID-GATES/S10-gui-operator-tools-v1_gates_S10-EVID-GATES_20260304T193000Z/gate_gates_sh.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/gates/S10-EVID-GATES/S10-gui-operator-tools-v1_gates_S10-EVID-GATES_20260304T193000Z/gate_gates_sh.stdout.txt | tracked=0 | total_lines=1 | added=1 | removed=0 | net=1
docs/sprints/S10/evidence/tools/gates/S10-EVID-GATES/S10-gui-operator-tools-v1_gates_S10-EVID-GATES_20260304T193000Z/gate_readiness_status.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/gates/S10-EVID-GATES/S10-gui-operator-tools-v1_gates_S10-EVID-GATES_20260304T193000Z/gate_readiness_status.stdout.txt | tracked=0 | total_lines=1 | added=1 | removed=0 | net=1
docs/sprints/S10/evidence/tools/gates/S10-EVID-GATES/S10-gui-operator-tools-v1_gates_S10-EVID-GATES_20260304T193000Z/gate_verify.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/gates/S10-EVID-GATES/S10-gui-operator-tools-v1_gates_S10-EVID-GATES_20260304T193000Z/gate_verify.stdout.txt | tracked=0 | total_lines=1 | added=1 | removed=0 | net=1
docs/sprints/S10/evidence/tools/gates/S10-EVID-GATES/S10-gui-operator-tools-v1_gates_S10-EVID-GATES_20260304T193000Z/gates_commands.json | tracked=0 | total_lines=27 | added=27 | removed=0 | net=27
docs/sprints/S10/evidence/tools/gates/S10-EVID-GATES/S10-gui-operator-tools-v1_gates_S10-EVID-GATES_20260304T193000Z/gates_eval.md | tracked=0 | total_lines=5 | added=5 | removed=0 | net=5
docs/sprints/S10/evidence/tools/gates/S10-EVID-GATES/S10-gui-operator-tools-v1_gates_S10-EVID-GATES_20260304T193000Z/gates_outputs.ndjson | tracked=0 | total_lines=3 | added=3 | removed=0 | net=3
docs/sprints/S10/evidence/tools/gates/S10-EVID-GATES/S10-gui-operator-tools-v1_gates_S10-EVID-GATES_20260304T193000Z/run_context.json | tracked=0 | total_lines=11 | added=11 | removed=0 | net=11
docs/sprints/S10/evidence/tools/out_of_sync/S10-EVID-OUT/S10-gui-operator-tools-v1_out_of_sync_S10-EVID-OUT_20260304T193000Z/diagnosis_report.md | tracked=0 | total_lines=11 | added=11 | removed=0 | net=11
docs/sprints/S10/evidence/tools/out_of_sync/S10-EVID-OUT/S10-gui-operator-tools-v1_out_of_sync_S10-EVID-OUT_20260304T193000Z/out_of_sync_commands.json | tracked=0 | total_lines=29 | added=29 | removed=0 | net=29
docs/sprints/S10/evidence/tools/out_of_sync/S10-EVID-OUT/S10-gui-operator-tools-v1_out_of_sync_S10-EVID-OUT_20260304T193000Z/out_of_sync_outputs.ndjson | tracked=0 | total_lines=3 | added=3 | removed=0 | net=3
docs/sprints/S10/evidence/tools/out_of_sync/S10-EVID-OUT/S10-gui-operator-tools-v1_out_of_sync_S10-EVID-OUT_20260304T193000Z/radar_ahead_behind.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/out_of_sync/S10-EVID-OUT/S10-gui-operator-tools-v1_out_of_sync_S10-EVID-OUT_20260304T193000Z/radar_ahead_behind.stdout.txt | tracked=0 | total_lines=1 | added=1 | removed=0 | net=1
docs/sprints/S10/evidence/tools/out_of_sync/S10-EVID-OUT/S10-gui-operator-tools-v1_out_of_sync_S10-EVID-OUT_20260304T193000Z/radar_head.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/out_of_sync/S10-EVID-OUT/S10-gui-operator-tools-v1_out_of_sync_S10-EVID-OUT_20260304T193000Z/radar_head.stdout.txt | tracked=0 | total_lines=1 | added=1 | removed=0 | net=1
docs/sprints/S10/evidence/tools/out_of_sync/S10-EVID-OUT/S10-gui-operator-tools-v1_out_of_sync_S10-EVID-OUT_20260304T193000Z/radar_signals.json | tracked=0 | total_lines=27 | added=27 | removed=0 | net=27
docs/sprints/S10/evidence/tools/out_of_sync/S10-EVID-OUT/S10-gui-operator-tools-v1_out_of_sync_S10-EVID-OUT_20260304T193000Z/radar_status.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/out_of_sync/S10-EVID-OUT/S10-gui-operator-tools-v1_out_of_sync_S10-EVID-OUT_20260304T193000Z/radar_status.stdout.txt | tracked=0 | total_lines=1 | added=1 | removed=0 | net=1
docs/sprints/S10/evidence/tools/out_of_sync/S10-EVID-OUT/S10-gui-operator-tools-v1_out_of_sync_S10-EVID-OUT_20260304T193000Z/repair_actions.json | tracked=0 | total_lines=1 | added=1 | removed=0 | net=1
docs/sprints/S10/evidence/tools/out_of_sync/S10-EVID-OUT/S10-gui-operator-tools-v1_out_of_sync_S10-EVID-OUT_20260304T193000Z/run_context.json | tracked=0 | total_lines=11 | added=11 | removed=0 | net=11
docs/sprints/S10/evidence/tools/pr_protocol/S10-EVID-PR/S10-gui-operator-tools-v1_pr_protocol_S10-EVID-PR_20260304T193000Z/graphql_resolve_mutations.jsonl | tracked=0 | total_lines=2 | added=2 | removed=0 | net=2
docs/sprints/S10/evidence/tools/pr_protocol/S10-EVID-PR/S10-gui-operator-tools-v1_pr_protocol_S10-EVID-PR_20260304T193000Z/open_pr_list.json | tracked=0 | total_lines=10 | added=10 | removed=0 | net=10
docs/sprints/S10/evidence/tools/pr_protocol/S10-EVID-PR/S10-gui-operator-tools-v1_pr_protocol_S10-EVID-PR_20260304T193000Z/open_pr_list.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/pr_protocol/S10-EVID-PR/S10-gui-operator-tools-v1_pr_protocol_S10-EVID-PR_20260304T193000Z/open_pr_list.stdout.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/pr_protocol/S10-EVID-PR/S10-gui-operator-tools-v1_pr_protocol_S10-EVID-PR_20260304T193000Z/pr_protocol_commands.json | tracked=0 | total_lines=18 | added=18 | removed=0 | net=18
docs/sprints/S10/evidence/tools/pr_protocol/S10-EVID-PR/S10-gui-operator-tools-v1_pr_protocol_S10-EVID-PR_20260304T193000Z/pr_protocol_eval.md | tracked=0 | total_lines=5 | added=5 | removed=0 | net=5
docs/sprints/S10/evidence/tools/pr_protocol/S10-EVID-PR/S10-gui-operator-tools-v1_pr_protocol_S10-EVID-PR_20260304T193000Z/pr_protocol_outputs.ndjson | tracked=0 | total_lines=5 | added=5 | removed=0 | net=5
docs/sprints/S10/evidence/tools/pr_protocol/S10-EVID-PR/S10-gui-operator-tools-v1_pr_protocol_S10-EVID-PR_20260304T193000Z/pr_threads_after.json | tracked=0 | total_lines=29 | added=29 | removed=0 | net=29
